sample_id,class_name,col_index,cover_area,crop_type,grid_id,label,pos_prop,region,row_index,samples,x,y,year,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14
29,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.2634101278114,30.516174443418,2021,0.21775232,0.093611896,0.14238411,0.37830913,0.6975077,0.70298314,0.88809246,0.87543535,0.8948276,0.90473855,0.7492216,0.29548386,0.17302799,0.10825295
30,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.18849063311582,30.542584912771115,2021,0.70366436,0.29069766,0.21812595,0.1744186,0.2989899,0.33223003,0.75940335,0.86776036,0.8788147,0.885753,0.74418604,0.39389426,0.21286121,0.12526767
31,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3032953264263,30.62154682624522,2021,0.6538226,0.42364106,0.21346927,0.17463617,0.46659052,0.5046767,0.8768647,0.89682376,0.9060254,0.91711175,0.7614489,0.3902077,0.2169967,0.12755461
32,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.17312944175738,30.64175892013791,2021,0.59245676,0.41571794,0.23897912,0.21250723,0.31083483,0.36473292,0.6133464,0.6198280466666667,0.6263096933333333,0.63279134,0.37145913,0.32052007,0.21428572,0.13491246
33,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.34515681866627,30.59100410658516,2021,0.57306224,0.3205504,0.20289855,0.17729667,0.19101124,0.34339622,0.5816106,0.6857001,0.7691218,0.74578345,0.6426608,0.31020197,0.20467518,0.1487395
34,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21211632508816,30.565042794874103,2021,0.7097573,0.21248916,0.18612881,0.16558862,0.4007907333333333,0.6359928466666667,0.87119496,0.88351107,0.89430416,0.8863378,0.74481326,0.30923176,0.22080348,0.19220309
35,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.27742384624365,30.56396481653316,2021,0.76578027,0.21204102,0.1418919,0.32004198,0.54602325,0.712725075,0.8794269,0.8997,0.895227,0.9111498,0.7463312,0.34674063,0.19723715,0.14649682
36,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21040952604834,30.635021555507013,2021,0.2883487,0.22253129,0.11051213,0.261669,0.38634047,0.6255918,0.86484313,0.8896965,0.89304364,0.9115203,0.6064035,0.4226087,0.19488274,0.12957317
37,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.13315441161406,30.589027812960094,2021,0.57961786,0.21605137,0.29287598,0.35464773,0.6166757,0.7620518350000001,0.90742797,0.9135392,0.90436935,0.90485954,0.80298764,0.46335834,0.19309022,0.12307692
38,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.27832216152777,30.551388402555485,2021,0.62470645,0.26293996,0.2712042,0.23381117,0.37944472,0.37103686,0.7207364,0.8146002,0.841332,0.8719684,0.666881,0.3142415,0.2025641,0.12454655
39,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.33482619289889,30.83130344508713,2021,0.30692562,0.26809785,0.23305956,0.18249005,0.19003932,0.17200474,0.32905984,0.4,0.36526367,0.3990566,0.3504493,0.27281553,0.21317475,0.18023255
40,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.29745627707952,30.63996228956967,2021,0.605429,0.26367345,0.15277778,0.24417602,0.4555615133333333,0.6669470066666666,0.8783325,0.8949463,0.9027965,0.89788735,0.7272248,0.29435483,0.1891892,0.14841498
41,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.23367589190704,30.521025345952246,2021,0.7985348,0.23701067,0.1873805,0.2726611,0.4491449,0.6479328,0.8467207,0.89451915,0.90674406,0.89761955,0.78050023,0.3130765,0.1807074,0.14385475
42,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.27661536248795,30.56225801749333,2021,0.79859585,0.28445747,0.30992368,0.26960257,0.41936227000000004,0.5691219700000001,0.71888167,0.78960955,0.8154731,0.83521044,0.66782224,0.33239833,0.17662008,0.10602024
43,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.37569953832633,30.704551158497864,2021,0.9162749,0.33875507,0.093023255,0.16284987,0.417703,0.6626293,0.9075556,0.8747438,0.91128063,0.92633593,0.7799089,0.51419145,0.21518987,0.12975392
44,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.14141891222796,30.556508799674965,2021,0.6628486,0.19661336,0.101892285,0.3105691,0.49918385,0.6877986,0.87641335,0.89558953,0.8954302,0.89997786,0.74583656,0.4101778,0.17568569,0.13511586
45,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32503455630199,30.61489929314273,2021,0.25501186,0.103375524,0.42766094,0.5195652,0.72,0.8146142199999999,0.90922844,0.88950497,0.9153201,0.90263486,0.4024303,0.26013985,0.15123859,0.18734178
46,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.09865910470387,30.521115177480656,2021,0.6767631,0.17917676,0.3992157,0.38493294,0.61108154,0.74073517,0.8703888,0.87204206,0.85767627,0.8190114,0.6042315,0.24271844,0.20059143,0.12582201
47,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21885368971907,30.549412108930422,2021,0.61854523,0.25299948,0.11738484,0.17394888,0.33870968,0.3624454,0.6043233,0.7074074,0.8060649,0.81956583,0.6709161,0.3294503,0.1598513,0.096666664
48,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32611253464293,30.530637319492325,2021,0.6394396,0.22759417,0.17666948,0.3152,0.6124805,0.68706626,0.90052867,0.90178573,0.9154728,0.8985904,0.7610465,0.31823462,0.19939059,0.16897959
49,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3528823301097,30.77273328856253,2021,0.51502675,0.25718665,0.26589078,0.50539744,0.69162995,0.7905223100000001,0.88941467,0.83307505,0.8769166,0.8598048,0.71282053,0.44358888,0.25987145,0.2
50,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3619553144793,30.73868713929441,2021,0.22504379,0.14480874,0.14419915,0.31719616,0.5175384866666667,0.7178808133333334,0.91822314,0.86559933,0.8959062,0.8715596,0.64759725,0.29454023,0.19567826,0.112309955
51,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3251243878304,30.832022097314425,2021,0.45497325,0.39142,0.3505933,0.36958936,0.43394044,0.558592245,0.68324405,0.60560745,0.59006214,0.687915,0.5333172,0.44834605,0.39653414,0.32940406
